Company Name,CTC,Sector ,parameters,values,category
Tricycle Brand Solutions LLP,,Advertisement,Form Of Advertising,social media,A
Social Neeti,"10000-15000 /month	",Advertisement,Form Of Advertising,social media,A
Outbuds,,Advertisement,Form Of Advertising,social media,A
Harjai Computers Pvt Ltd,Not disclosed,Business Service,Skills,High,A
Pentagon Consulting,,Business Service,Skills,High,A
Tricolour Manpower Solutions LLP,CTC: 15k to 19k,Business Service,Skills,High,A
Trident Consultancy Services Ltd,,Business Service,Skills,High,A
Triedge,,Business Service,Skills,High,A
Trinamix Systems Private Limited,"Salary: ?15,000.00 to ?30,000.00 /month",Business Service,Skills,High,A
TRIO Talent Search,0,Business Service,Skills,High,A
Shri Guru Daya Consulting,Not disclosed,Business Service,Skills,High,A
ABC CONSULTANTS PVT LTD,0,Business Service,Skills,High,A
Fortune kences hotel,0,Business Service,Skills,High,A
Rimini Street India Operations Pvt. Ltd.,"8,00,000 - 13,00,000 PA.",Business Service,Skills,High,A
Om sai management consulting,1-2.75LPA,Business Service,Skills,High,A
tekfortune,-,Business Service,Skills,High,A
CIEL HR Services Pvt Ltd,"INR 1,00,000 - 2,00,000 PA.",Business Service,Skills,High,A
datamatics global services ltd,Not disclosed,Business Service,Skills,High,A
excel-placement-services,"? 16,00,000 - 30,00,000 P.A",Business Service,Skills,High,A
Rebaca Technologies Ltd.,"Rs. 5,00,000 - 15,00,000 P.A",Business Service,Skills,High,A
AddRec Solutions Pvt.Ltd,Not known,Business Service,Skills,High,A
Gratitude India Manpower Consultants Pvt. Ltd.,200000-600000,Business Service,Skills,High,A
Phoenix Info Technologies,"2,00,000 - 3,00,000 P.A",Business Service,Skills,High,A
ASTRA ORGANISATION,"2,50,000-3,50,000 P.A.",Business Service,Skills,High,A
Imaginators Try Going Beyond,"? 4,00,000 - 6,00,000 P.A.",Business Service,Skills,High,A
One on One Links Pvt ltd,"2,00,000 - 4,00,000 P.A.",Business Service,Skills,High,A
RLABS ENTERPRISE SERVICES LTD,"5,00,000 - 8,00,000 P.A",Business Service,Skills,High,A
Osource India Pvt. Ltd.,,Business Service,Skills,High,A
OSWORLD TECHNOLOGY,,Business Service,Skills,High,A
OUCTUS TECHNOLOGY PRIVATE LIMITED,,Business Service,Skills,High,A
OTC Payments - Micro ATM,,Business Service,Skills,High,A
People Alliance Workforce Private ltd.,,Business Service,Skills,High,A
People Arena,,Business Service,Skills,High,A
People Strong Hr Services Pvt Ltd,,Business Service,Skills,High,A
UDBHATA TECHNOLOGIES PRIVATE LIMITED,,Business Service,Skills ,High,A
UdyamJob,,Business Service,Skills ,High,A
Peoplestrong,0,Business Service,Skills ,High,A
meesho,,Business Service,Skills,Medium,B
Inmobi,,Business Service,Skills,Medium,B
Pentation Analytics,,Business Service,Skills,Medium,B
Trilliant Digital,,Business Service,Skills,Medium,B
Trimurti HR Solutions,"8000 /month	",Business Service,Skills,Medium,B
TRIOS COWORKING PRIVATE LIMITED,,Business Service,Skills,Medium,B
Triotech,,Business Service,Skills,Medium,B
"tydy
automate. digitize. personalize",,Business Service,Skills,Meduim,B
Nxtgen Projects & Management Solutions,12-22k per month,Business Service,Skills,Medium,B
